"Gene.stable.ID","GO.description","GO.term.accession","ontology","GO.term"
"AT1G08030","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G08060","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G08320","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT1G08350","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G08450","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G08720","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT1G08830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G09270","host response to induction by symbiont of tumor, nodule or growth in host","GO:0080034","P","response to biotic stimulus"
"AT1G09340","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G09415","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT1G09750","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT1G09770","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G09970","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G10170","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G10300","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT1G10760","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT1G10920","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G11280","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G11310","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G11350","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G11580","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G11960","PAMP-triggered immunity signalling pathway","GO:0140426","P","response to biotic stimulus"
"AT1G12200","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G12210","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G12220","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G12240","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G12665","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G13230","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT1G13440","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G13960","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT1G14200","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT1G14370","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT1G14780","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT1G14790","response to virus","GO:0009615","P","response to biotic stimulus"
"AT1G15010","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G15520","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT1G15530","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT1G16030","response to virus","GO:0009615","P","response to biotic stimulus"
"AT1G16070","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G16410","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G16540","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G16670","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G17250","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G17420","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G17600","regulation of innate immune response","GO:0045088","P","response to biotic stimulus"
"AT1G17615","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G17750","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G17780","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G17860","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G17980","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT1G18290","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G18350","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT1G18570","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G18670","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G19020","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G19100","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT1G19180","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G19250","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT1G19350","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G19570","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT1G19670","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G20020","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G20160","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT1G20380","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G20440","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G20510","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G20840","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G20850","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G20900","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT1G20980","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G21010","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G21250","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G21835","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G22070","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G22190","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G22810","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G22882","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G22890","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G24100","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G24150","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G25220","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G25275","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G25280","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G25540","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G26190","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT1G26630","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G27130","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G27320","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G27950","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G28190","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G28380","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT1G28520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G29195","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G29340","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT1G29660","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT1G29690","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT1G30460","positive regulation of plant-type hypersensitive response","GO:0034052","P","response to biotic stimulus"
"AT1G31280","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G31290","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G31580","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G31770","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G31930","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G32060","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G32230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G32540","positive regulation of plant-type hypersensitive response","GO:0034052","P","response to biotic stimulus"
"AT1G32640","regulation of defense response to insect","GO:2000068","P","response to biotic stimulus"
"AT1G32960","induced systemic resistance","GO:0009682","P","response to biotic stimulus"
"AT1G33520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G33560","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G33960","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G33970","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT1G33980","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G34860","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G35035","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G35537","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G37130","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT1G42540","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G43640","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G43850","cellular response to external biotic stimulus","GO:0071217","P","response to biotic stimulus"
"AT1G44350","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT1G44830","jasmonic acid and ethylene-dependent systemic resistance","GO:0009861","P","response to biotic stimulus"
"AT1G45145","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G47128","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G47370","positive regulation of plant-type hypersensitive response","GO:0034052","P","response to biotic stimulus"
"AT1G48410","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G48500","jasmonic acid and ethylene-dependent systemic resistance","GO:0009861","P","response to biotic stimulus"
"AT1G49040","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT1G49050","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G49430","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G49780","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT1G50030","response to virus","GO:0009615","P","response to biotic stimulus"
"AT1G51090","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT1G51360","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G51500","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G51660","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT1G51680","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G51780","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT1G51800","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT1G51890","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G51940","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G52400","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G52410","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G52740","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G53130","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G53240","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G53320","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G53570","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT1G53940","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G53970","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G53990","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G54040","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G55020","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G55250","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G55260","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G55490","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT1G56160","induced systemic resistance, ethylene mediated signaling pathway","GO:0009866","P","response to biotic stimulus"
"AT1G56190","regulation of defense response to virus by host","GO:0050691","P","response to biotic stimulus"
"AT1G56510","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT1G56570","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G56650","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT1G58160","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G58340","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G58360","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G59740","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G59820","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT1G59870","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G60010","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G60960","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G61120","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT1G61340","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G61360","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61370","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61380","detection of lipopolysaccharide","GO:0032497","P","response to biotic stimulus"
"AT1G61390","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61400","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61420","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61430","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61440","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61460","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61480","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61490","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61500","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61550","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61610","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G61800","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G61850","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G62660","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G63880","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G64070","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G64090","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G64280","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G64550","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G64670","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G64700","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G64780","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G64790","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT1G65390","response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance","GO:0032260","P","response to biotic stimulus"
"AT1G65490","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G65930","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G66340","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G66480","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G66540","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT1G66690","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT1G66700","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT1G66730","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT1G67520","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G67865","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G67950","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G68110","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G68765","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT1G69170","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G69370","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G69440","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G69850","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G69940","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT1G70110","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G70130","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT1G70260","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT1G70560","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G70690","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT1G71220","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT1G71880","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G71930","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G72140","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G72290","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G72520","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G73080","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G73260","response to molecule of fungal origin","GO:0002238","P","response to biotic stimulus"
"AT1G73500","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G73805","cellular response to molecule of bacterial origin","GO:0071219","P","response to biotic stimulus"
"AT1G74080","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G74100","response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance","GO:0032260","P","response to biotic stimulus"
"AT1G74360","defense response to nematode","GO:0002215","P","response to biotic stimulus"
"AT1G74710","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G74930","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT1G75040","response to virus","GO:0009615","P","response to biotic stimulus"
"AT1G75380","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G76600","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G76670","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G77300","regulation of plant-type hypersensitive response","GO:0010363","P","response to biotic stimulus"
"AT1G77920","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G79090","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G79210","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G79380","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G79550","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT1G79670","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G79680","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G80080","regulation of antifungal innate immune response","GO:1905034","P","response to biotic stimulus"
"AT1G80460","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT1G80600","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G80680","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT1G80840","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT2G01340","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G01650","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G01830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G02220","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G02930","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT2G03070","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G03440","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT2G03445","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G04450","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT2G05940","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G06050","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G10606","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G13810","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G14560","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G14580","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT2G14610","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G15480","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT2G15490","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT2G15890","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G16390","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G17265","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G17310","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G17520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G18280","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G18300","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT2G18660","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G19190","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G19990","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G20310","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT2G20580","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G20610","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G20990","response to virus","GO:0009615","P","response to biotic stimulus"
"AT2G21050","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G21120","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G21660","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G22000","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G22010","response to virus","GO:0009615","P","response to biotic stimulus"
"AT2G22240","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G22300","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G22330","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT2G22370","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT2G22840","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G23150","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G23270","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT2G23560","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G23620","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G23770","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G23810","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT2G24210","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT2G24570","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G25000","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT2G25110","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G25160","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT2G25620","regulation of defense response to virus","GO:0050688","P","response to biotic stimulus"
"AT2G26330","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G26440","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT2G26560","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G26870","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G27040","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G27050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G27080","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G27250","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G27880","response to virus","GO:0009615","P","response to biotic stimulus"
"AT2G28230","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT2G28290","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT2G28550","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT2G28830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G29220","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G29250","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT2G29350","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT2G29460","positive regulation of defense response to insect","GO:1900367","P","response to biotic stimulus"
"AT2G29630","detection of bacterium","GO:0016045","P","response to biotic stimulus"
"AT2G29650","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G30020","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G30080","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G30110","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT2G30230","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G30750","induced systemic resistance","GO:0009682","P","response to biotic stimulus"
"AT2G30770","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT2G30860","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G30880","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G31260","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G31865","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G31870","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G32680","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G32700","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G32800","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G32940","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G33340","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G33380","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G33550","cellular response to molecule of bacterial origin","GO:0071219","P","response to biotic stimulus"
"AT2G33580","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G33830","response to bacterium","GO:0009617","P","response to biotic stimulus"
